param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
200,10,2,1,0.7906759906759908,0.023813226112790933,0.8205128205128205,0.7692307692307693,0.8181818181818182,0.7792207792207793,0.7662337662337663,1
100,10,2,1,0.7905760905760906,0.041796039044100966,0.8461538461538461,0.782051282051282,0.8311688311688312,0.7532467532467533,0.7402597402597403,2
200,20,2,1,0.7828837828837829,0.03909202659330362,0.8205128205128205,0.7692307692307693,0.8181818181818182,0.7922077922077922,0.7142857142857143,3
200,,2,1,0.7802863802863804,0.03881669913981298,0.8205128205128205,0.7692307692307693,0.8181818181818182,0.7792207792207793,0.7142857142857143,4
50,,2,1,0.7777888777888778,0.03920244210379499,0.8333333333333334,0.717948717948718,0.8051948051948052,0.7662337662337663,0.7662337662337663,5
50,20,2,1,0.7777888777888778,0.03920244210379499,0.8333333333333334,0.717948717948718,0.8051948051948052,0.7662337662337663,0.7662337662337663,5
50,20,10,2,0.7777555777555778,0.05315403011304984,0.8461538461538461,0.717948717948718,0.8181818181818182,0.7922077922077922,0.7142857142857143,7
50,,10,2,0.7777555777555778,0.05315403011304984,0.8461538461538461,0.717948717948718,0.8181818181818182,0.7922077922077922,0.7142857142857143,7
100,10,10,1,0.7751581751581751,0.03539867156223017,0.8205128205128205,0.7435897435897436,0.8051948051948052,0.7792207792207793,0.7272727272727273,9
100,10,5,2,0.7725940725940725,0.04800571422502631,0.8333333333333334,0.717948717948718,0.8051948051948052,0.7922077922077922,0.7142857142857143,10
50,10,2,1,0.77002997002997,0.030992725799082986,0.7948717948717948,0.7435897435897436,0.8181818181818182,0.7532467532467533,0.7402597402597403,11
200,10,5,2,0.77002997002997,0.03192835949902942,0.8076923076923077,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7402597402597403,11
100,10,10,2,0.7699966699966699,0.03604005236968241,0.8205128205128205,0.7307692307692307,0.7922077922077922,0.7792207792207793,0.7272727272727273,13
50,,5,1,0.7699966699966699,0.04754559116894246,0.7948717948717948,0.7564102564102564,0.8311688311688312,0.7792207792207793,0.6883116883116883,13
50,20,5,1,0.7699966699966699,0.04754559116894246,0.7948717948717948,0.7564102564102564,0.8311688311688312,0.7792207792207793,0.6883116883116883,13
100,20,10,2,0.7699633699633701,0.039706795496459314,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7662337662337663,0.7272727272727273,16
200,20,5,1,0.7699633699633701,0.029330808458543876,0.7948717948717948,0.7692307692307693,0.7922077922077922,0.7792207792207793,0.7142857142857143,16
200,,5,1,0.7699633699633701,0.029330808458543876,0.7948717948717948,0.7692307692307693,0.7922077922077922,0.7792207792207793,0.7142857142857143,16
100,,10,2,0.7699633699633701,0.039706795496459314,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7662337662337663,0.7272727272727273,16
100,10,2,4,0.76996336996337,0.034532086364261076,0.8076923076923077,0.7564102564102564,0.8051948051948052,0.7662337662337663,0.7142857142857143,20
100,10,5,4,0.76996336996337,0.034532086364261076,0.8076923076923077,0.7564102564102564,0.8051948051948052,0.7662337662337663,0.7142857142857143,20
50,10,5,1,0.7699633699633699,0.05173678618089274,0.8076923076923077,0.7564102564102564,0.8181818181818182,0.7922077922077922,0.6753246753246753,22
100,20,5,1,0.7698967698967699,0.04577755468749866,0.8205128205128205,0.7692307692307693,0.8051948051948052,0.7662337662337663,0.6883116883116883,23
100,,5,1,0.7698967698967699,0.04577755468749866,0.8205128205128205,0.7692307692307693,0.8051948051948052,0.7662337662337663,0.6883116883116883,23
200,10,5,4,0.7674658674658674,0.02814229138176806,0.782051282051282,0.7435897435897436,0.8051948051948052,0.7792207792207793,0.7272727272727273,25
200,10,2,4,0.7674658674658674,0.02814229138176806,0.782051282051282,0.7435897435897436,0.8051948051948052,0.7792207792207793,0.7272727272727273,25
100,,2,1,0.7674325674325675,0.04090613283215287,0.8076923076923077,0.7307692307692307,0.8181818181818182,0.7662337662337663,0.7142857142857143,27
100,20,2,1,0.7674325674325675,0.04090613283215287,0.8076923076923077,0.7307692307692307,0.8181818181818182,0.7662337662337663,0.7142857142857143,27
100,,5,2,0.7673992673992673,0.038475302895446914,0.8205128205128205,0.7307692307692307,0.8051948051948052,0.7532467532467533,0.7272727272727273,29
100,20,5,2,0.7673992673992673,0.038475302895446914,0.8205128205128205,0.7307692307692307,0.8051948051948052,0.7532467532467533,0.7272727272727273,29
200,10,2,2,0.7673992673992673,0.04031862640990695,0.8076923076923077,0.7435897435897436,0.8051948051948052,0.7792207792207793,0.7012987012987013,29
200,10,10,2,0.7673659673659674,0.03409936417724106,0.8205128205128205,0.7435897435897436,0.7922077922077922,0.7532467532467533,0.7272727272727273,32
100,20,2,2,0.7673659673659674,0.051331912222201424,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7922077922077922,0.6883116883116883,32
100,,2,2,0.7673659673659674,0.051331912222201424,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7922077922077922,0.6883116883116883,32
100,10,2,2,0.7648684648684648,0.04117699591092446,0.7948717948717948,0.7307692307692307,0.8051948051948052,0.7922077922077922,0.7012987012987013,35
200,10,10,4,0.7648351648351649,0.03790336703868181,0.8076923076923077,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7142857142857143,36
200,20,5,4,0.7648351648351649,0.03711864955823302,0.7948717948717948,0.7435897435897436,0.8181818181818182,0.7532467532467533,0.7142857142857143,36
200,20,2,4,0.7648351648351649,0.03711864955823302,0.7948717948717948,0.7435897435897436,0.8181818181818182,0.7532467532467533,0.7142857142857143,36
200,,5,4,0.7648351648351649,0.03711864955823302,0.7948717948717948,0.7435897435897436,0.8181818181818182,0.7532467532467533,0.7142857142857143,36
200,,2,4,0.7648351648351649,0.03711864955823302,0.7948717948717948,0.7435897435897436,0.8181818181818182,0.7532467532467533,0.7142857142857143,36
50,10,10,1,0.7648351648351648,0.03801656412087828,0.7948717948717948,0.7435897435897436,0.8051948051948052,0.7792207792207793,0.7012987012987013,41
200,10,10,1,0.7648351648351648,0.030092177178086477,0.7948717948717948,0.7435897435897436,0.8051948051948052,0.7532467532467533,0.7272727272727273,41
100,10,10,4,0.7648018648018649,0.039889437017496004,0.8076923076923077,0.7435897435897436,0.8051948051948052,0.7662337662337663,0.7012987012987013,43
50,10,10,2,0.7648018648018647,0.043019931404723856,0.8205128205128205,0.7307692307692307,0.7922077922077922,0.7792207792207793,0.7012987012987013,44
200,10,5,1,0.7647685647685648,0.03270012404036345,0.8076923076923077,0.7564102564102564,0.7922077922077922,0.7532467532467533,0.7142857142857143,45
50,20,5,2,0.7622710622710622,0.03313518972694285,0.8076923076923077,0.717948717948718,0.7922077922077922,0.7402597402597403,0.7532467532467533,46
200,,10,2,0.7622710622710622,0.027889130767495288,0.782051282051282,0.7435897435897436,0.8051948051948052,0.7532467532467533,0.7272727272727273,46
50,,5,2,0.7622710622710622,0.03313518972694285,0.8076923076923077,0.717948717948718,0.7922077922077922,0.7402597402597403,0.7532467532467533,46
200,20,10,2,0.7622710622710622,0.027889130767495288,0.782051282051282,0.7435897435897436,0.8051948051948052,0.7532467532467533,0.7272727272727273,46
200,20,2,2,0.7622044622044623,0.045375178172339235,0.8333333333333334,0.717948717948718,0.7922077922077922,0.7532467532467533,0.7142857142857143,50
200,,2,2,0.7622044622044623,0.045375178172339235,0.8333333333333334,0.717948717948718,0.7922077922077922,0.7532467532467533,0.7142857142857143,50
100,,5,4,0.7597069597069598,0.033200884696893064,0.782051282051282,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7142857142857143,52
100,20,2,4,0.7597069597069598,0.033200884696893064,0.782051282051282,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7142857142857143,52
100,,2,4,0.7597069597069598,0.033200884696893064,0.782051282051282,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7142857142857143,52
100,20,5,4,0.7597069597069598,0.033200884696893064,0.782051282051282,0.7307692307692307,0.8051948051948052,0.7662337662337663,0.7142857142857143,52
200,20,10,4,0.7597069597069597,0.035051887752708,0.7948717948717948,0.717948717948718,0.8051948051948052,0.7532467532467533,0.7272727272727273,56
200,,10,4,0.7597069597069597,0.035051887752708,0.7948717948717948,0.717948717948718,0.8051948051948052,0.7532467532467533,0.7272727272727273,56
100,20,10,4,0.7596736596736597,0.04054702633191545,0.8076923076923077,0.717948717948718,0.8051948051948052,0.7532467532467533,0.7142857142857143,58
50,10,5,2,0.7596736596736597,0.04939525393415628,0.8205128205128205,0.7051282051282052,0.8051948051948052,0.7662337662337663,0.7012987012987013,58
100,,10,4,0.7596736596736597,0.04054702633191545,0.8076923076923077,0.717948717948718,0.8051948051948052,0.7532467532467533,0.7142857142857143,58
100,10,5,1,0.7596403596403596,0.034660456075089795,0.7948717948717948,0.7435897435897436,0.7922077922077922,0.7662337662337663,0.7012987012987013,61
200,20,5,2,0.7595737595737596,0.04712572428266285,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7402597402597403,0.7012987012987013,62
200,,5,2,0.7595737595737596,0.04712572428266285,0.8333333333333334,0.7307692307692307,0.7922077922077922,0.7402597402597403,0.7012987012987013,62
50,20,10,1,0.7571428571428572,0.014417645424159641,0.7564102564102564,0.7435897435897436,0.7662337662337663,0.7792207792207793,0.7402597402597403,64
50,,10,1,0.7571428571428572,0.014417645424159641,0.7564102564102564,0.7435897435897436,0.7662337662337663,0.7792207792207793,0.7402597402597403,64
100,20,10,1,0.7571428571428571,0.035831145309362725,0.7692307692307693,0.7307692307692307,0.7922077922077922,0.7922077922077922,0.7012987012987013,66
100,,10,1,0.7571428571428571,0.035831145309362725,0.7692307692307693,0.7307692307692307,0.7922077922077922,0.7922077922077922,0.7012987012987013,66
200,20,10,1,0.757076257076257,0.032356941702551344,0.782051282051282,0.7435897435897436,0.7922077922077922,0.7662337662337663,0.7012987012987013,68
200,,10,1,0.757076257076257,0.032356941702551344,0.782051282051282,0.7435897435897436,0.7922077922077922,0.7662337662337663,0.7012987012987013,68
50,10,5,4,0.7544455544455544,0.0322241103235688,0.7948717948717948,0.7435897435897436,0.7792207792207793,0.7532467532467533,0.7012987012987013,70
50,10,2,4,0.7544455544455544,0.0322241103235688,0.7948717948717948,0.7435897435897436,0.7792207792207793,0.7532467532467533,0.7012987012987013,70
50,10,10,4,0.7544122544122545,0.04613154463961395,0.8076923076923077,0.7435897435897436,0.7922077922077922,0.7532467532467533,0.6753246753246753,72
50,,10,4,0.7543789543789543,0.049739416029709674,0.8205128205128205,0.7435897435897436,0.7922077922077922,0.7402597402597403,0.6753246753246753,73
50,20,10,4,0.7543789543789543,0.049739416029709674,0.8205128205128205,0.7435897435897436,0.7922077922077922,0.7402597402597403,0.6753246753246753,73
50,10,2,2,0.7518481518481519,0.04643493528739192,0.782051282051282,0.7564102564102564,0.7922077922077922,0.7662337662337663,0.6623376623376623,75
50,20,2,4,0.7442224442224442,0.029517131484635004,0.7692307692307693,0.7051282051282052,0.7792207792207793,0.7532467532467533,0.7142857142857143,76
