param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
200,10,2,1,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
200,20,2,2,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
200,,2,1,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
200,10,2,2,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
200,,2,2,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
200,20,2,1,0.9612720612720611,0.00800559395791501,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,1
100,10,5,1,0.9612387612387611,0.008217352536534986,0.9615384615384616,0.9615384615384616,0.961038961038961,0.974025974025974,0.948051948051948,7
100,,2,1,0.9586746586746585,0.009606583468267987,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.948051948051948,8
100,20,2,1,0.9586746586746585,0.009606583468267987,0.9487179487179487,0.9615384615384616,0.961038961038961,0.974025974025974,0.948051948051948,8
100,,5,1,0.9586413586413585,0.009774906998919135,0.9615384615384616,0.9615384615384616,0.948051948051948,0.974025974025974,0.948051948051948,10
100,20,5,1,0.9586413586413585,0.009774906998919135,0.9615384615384616,0.9615384615384616,0.948051948051948,0.974025974025974,0.948051948051948,10
200,10,5,1,0.956143856143856,0.017263939722060275,0.9230769230769231,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,12
200,,5,1,0.956143856143856,0.017263939722060275,0.9230769230769231,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,12
200,20,5,1,0.956143856143856,0.017263939722060275,0.9230769230769231,0.9615384615384616,0.961038961038961,0.974025974025974,0.961038961038961,12
200,10,5,2,0.956110556110556,0.01302478348494899,0.9358974358974359,0.9615384615384616,0.948051948051948,0.974025974025974,0.961038961038961,15
100,10,2,2,0.956110556110556,0.01302478348494899,0.9358974358974359,0.9615384615384616,0.948051948051948,0.974025974025974,0.961038961038961,15
50,10,2,2,0.956110556110556,0.017452076950600328,0.9358974358974359,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,15
100,10,2,1,0.9560772560772559,0.010343614297749442,0.9487179487179487,0.9615384615384616,0.948051948051948,0.974025974025974,0.948051948051948,18
100,,10,1,0.9535797535797534,0.02077516461004574,0.9230769230769231,0.9487179487179487,0.948051948051948,0.987012987012987,0.961038961038961,19
100,20,10,1,0.9535797535797534,0.02077516461004574,0.9230769230769231,0.9487179487179487,0.948051948051948,0.987012987012987,0.961038961038961,19
50,20,2,2,0.9535464535464534,0.020845395281945935,0.9230769230769231,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,21
50,,2,2,0.9535464535464534,0.020845395281945935,0.9230769230769231,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,21
50,,5,1,0.9535464535464534,0.017308971644806014,0.9230769230769231,0.9615384615384616,0.948051948051948,0.974025974025974,0.961038961038961,21
100,10,10,1,0.9535464535464534,0.012965649240047807,0.9358974358974359,0.9487179487179487,0.948051948051948,0.974025974025974,0.961038961038961,21
50,20,5,1,0.9535464535464534,0.017308971644806014,0.9230769230769231,0.9615384615384616,0.948051948051948,0.974025974025974,0.961038961038961,21
100,10,5,2,0.9535131535131536,0.01932417889348488,0.9358974358974359,0.9615384615384616,0.948051948051948,0.987012987012987,0.935064935064935,26
200,20,10,1,0.9509823509823508,0.01687940552473268,0.9230769230769231,0.9487179487179487,0.948051948051948,0.974025974025974,0.961038961038961,27
200,,10,1,0.9509823509823508,0.01687940552473268,0.9230769230769231,0.9487179487179487,0.948051948051948,0.974025974025974,0.961038961038961,27
200,20,10,2,0.9509823509823508,0.020490103365484798,0.9230769230769231,0.9487179487179487,0.948051948051948,0.987012987012987,0.948051948051948,27
100,20,10,2,0.9509823509823508,0.02484115526108584,0.9102564102564102,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,27
100,,10,2,0.9509823509823508,0.02484115526108584,0.9102564102564102,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,27
200,,10,2,0.9509823509823508,0.020490103365484798,0.9230769230769231,0.9487179487179487,0.948051948051948,0.987012987012987,0.948051948051948,27
200,10,10,1,0.9509823509823508,0.01687940552473268,0.9230769230769231,0.9487179487179487,0.948051948051948,0.974025974025974,0.961038961038961,27
100,10,10,2,0.9509823509823508,0.02484115526108584,0.9102564102564102,0.9615384615384616,0.948051948051948,0.987012987012987,0.948051948051948,27
50,10,2,1,0.9509490509490508,0.012496877385320406,0.9358974358974359,0.9487179487179487,0.948051948051948,0.974025974025974,0.948051948051948,35
100,20,5,2,0.9509157509157509,0.015046088589043247,0.9358974358974359,0.9615384615384616,0.948051948051948,0.974025974025974,0.935064935064935,36
