"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTK6",911.783916325479,-5.03519146097467,0.132076852359321,1326.58894920193,8.60735675589481e-289,3.62930136109147e-287
"SRPX",3909.91828854981,4.02182240255854,0.150420284454454,930.155206676074,1.04559431554024e-202,1.69081470260897e-201
"KLF5",7486.18371792336,-5.42406649257871,0.139295281831263,2137.93025368125,0,0
"ELMO3",959.124629879003,-4.19769974733815,0.102277465854127,1493.01488622332,0,0
"EPHX3",461.808896964727,-5.06265562278369,0.171781929155657,970.682739914883,1.65546951639504e-211,2.98359253054686e-210
"TMEM59L",3528.20855629094,4.40645863526478,0.190848150514193,1061.22262289222,3.6177237709733e-231,8.08018007262766e-230
"NPTX2",3647.6015800334,4.34488781509809,0.221363676373866,330.35457402224,1.83829715605041e-72,5.23377198299166e-72
"MEOX2",945.613392968855,5.12250078728551,0.20117402162563,659.846731662257,5.20119059529697e-144,4.03196533260851e-143
"CORO2A",1899.12207943276,-4.52554925999294,0.116278690172082,1288.97584961896,1.26604925485333e-280,4.82703568012388e-279
"OGN",3402.11626502529,4.03202522884259,0.222201228566762,475.50362674642,5.56800208877175e-104,2.50291957062523e-103
"EBF3",954.455903365847,4.34658344511853,0.170497632070761,475.701296809788,5.04400932325818e-104,2.26888222633099e-103
"RAPGEFL1",2726.15719115842,-4.464422494988,0.0965670154488997,2362.11526835624,0,0
"KRT18",6360.2882466333,-4.24413182901325,0.168911041693435,973.930864263017,3.26287132814909e-212,5.9599140926448e-211
"RBM24",631.16201591998,4.46228361889774,0.204466007822593,456.932202289821,6.00389337424572e-100,2.539459275638e-99
"PERP",23219.6672936153,-5.48969319107419,0.154899599191235,1218.21288281205,2.94058410679652e-265,9.52172389605046e-264
"TFCP2L1",1236.47694706512,-5.43037748994231,0.175646098470681,1039.54175334245,1.8466152069519e-226,3.92369494915132e-225
"GALNT3",1794.81538545252,-5.8979567118827,0.137650712874787,2170.02115865864,0,0
"ANGPTL1",1226.59614855677,4.16539307463001,0.2046405917259,510.136394842464,1.67992290269138e-111,8.33801118002487e-111
"ELAPOR1",2701.70738765825,-4.86022716449585,0.166616738582811,724.163229978871,5.62279968033471e-158,5.21979380475517e-157
"PRG4",1655.00443365222,5.74606930934262,0.233790368696772,700.474477974015,7.83248822962016e-153,6.79133428493971e-152
"TSPAN1",1598.2318598072,-5.20354387417718,0.169130338228339,1412.44840601768,1.9531052469523e-307,1.02861009795718e-305
"IRF6",5048.3103117898,-4.25133409676905,0.185738702675393,488.795827673823,7.23326925766348e-107,3.37710587797431e-106
"CASQ2",1747.1853599709,4.50853022249314,0.23830223356009,339.551252149597,1.85089777795986e-74,5.4330733950741e-74
"PPL",9421.61635659682,-4.23326331866368,0.199169234581746,947.678244496617,1.63788685583723e-206,2.78153056383398e-205
"EPCAM",6248.15250778385,-6.81483325408456,0.203391342418374,937.033225311023,3.35598834352134e-204,5.52594917634566e-203
"PLS1",1604.64556789776,-6.49889907801724,0.147108988741405,1969.62959160564,0,0
"CSTA",4346.79162124956,-5.43220645176069,0.18850327710974,1422.53851512406,1.25801637278745e-309,6.78376557995146e-308
"POPDC2",690.970339619713,4.21000101230794,0.147900332424403,639.629933876973,1.27680515824714e-139,9.34643473059761e-139
"FABP3",2745.51341623725,4.76215683816414,0.147356786218587,860.126482342977,1.68231566843455e-187,2.26568582808573e-186
"LYPD3",4339.35271813211,-6.65233065766549,0.182242200117958,1594.64407947069,0,0
"F13A1",6721.39937738516,4.3344248352936,0.168771319539743,563.142493656715,5.18992688759682e-123,3.0226187789855e-122
"MYRF",2000.63668567956,-4.89806587619791,0.171484752557313,1286.33977912251,4.73005332904675e-280,1.78332233450272e-278
"SH2D3A",545.642685722711,-4.16807410704523,0.110693265499772,2599.6433157739,0,0
"KRT17",40038.0956093452,-4.947123833864,0.257759626258869,810.573296118981,9.68824602218185e-177,1.14724768075443e-175
"RNF112",1083.85090198074,4.29608457332701,0.158158601811258,794.141886996707,3.58327644374807e-173,4.0315583263616e-172
"SOX15",816.1481588545,-4.37113259119335,0.174158370716727,790.953480385968,1.76455017931525e-172,1.96731356482964e-171
"EPS8L1",1152.34865662861,-4.10575484082945,0.143865898963166,1394.9030588645,1.26080920995616e-303,6.41543332960777e-302
"RHPN2",1564.54384550733,-4.45567298631553,0.145182485460071,953.947157120505,7.12864220713184e-208,1.22912321367554e-206
"ITGB4",16349.731844758,-4.97625124061282,0.146114297085493,1576.78344125093,0,0
"RNF128",1372.48412795797,-4.11562875325809,0.183770993716937,462.189880443106,4.33254084803426e-101,1.85572596133366e-100
