param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
100,,2,2,0.8973744292237443,0.03490231335152813,0.9452054794520548,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9305555555555556,16
100,20,5,1,0.8946347031963471,0.03140235541567788,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9305555555555556,19
100,,5,1,0.8946347031963471,0.03140235541567788,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9305555555555556,19
100,20,10,1,0.8919330289193302,0.01859325494388715,0.9041095890410958,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.9166666666666666,21
100,,10,1,0.8919330289193302,0.01859325494388715,0.9041095890410958,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.9166666666666666,21
100,10,10,1,0.8919330289193302,0.01859325494388715,0.9041095890410958,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.9166666666666666,21
50,10,5,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
50,10,2,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
50,10,10,2,0.8918569254185693,0.032386622450950454,0.9315068493150684,0.8611111111111112,0.875,0.8611111111111112,0.9305555555555556,24
200,10,5,2,0.8918569254185693,0.032386622450950454,0.9315068493150684,0.8611111111111112,0.875,0.8611111111111112,0.9305555555555556,24
200,10,2,2,0.8918569254185693,0.03468737957002128,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8472222222222222,0.9305555555555556,24
100,10,5,1,0.8918569254185693,0.03468737957002128,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8472222222222222,0.9305555555555556,24
50,20,5,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
50,,10,2,0.8918569254185693,0.032386622450950454,0.9315068493150684,0.8611111111111112,0.875,0.8611111111111112,0.9305555555555556,24
50,20,10,2,0.8918569254185693,0.032386622450950454,0.9315068493150684,0.8611111111111112,0.875,0.8611111111111112,0.9305555555555556,24
50,,2,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
50,,5,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
50,20,2,4,0.8918569254185693,0.034687379570021284,0.9315068493150684,0.8472222222222222,0.8888888888888888,0.8611111111111112,0.9305555555555556,24
100,20,2,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
100,10,5,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
100,,5,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
100,20,5,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
100,10,2,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
100,,2,4,0.8918188736681888,0.03889823315701203,0.9452054794520548,0.8472222222222222,0.875,0.8611111111111112,0.9305555555555556,36
50,10,10,1,0.8891552511415526,0.017785520014047828,0.9041095890410958,0.8611111111111112,0.9027777777777778,0.875,0.9027777777777778,42
200,,10,1,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
200,20,10,1,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
50,20,2,2,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
200,10,10,1,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
50,10,2,2,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
50,,2,2,0.8891171993911721,0.025103313927698857,0.9178082191780822,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9166666666666666,43
200,20,2,2,0.8890791476407915,0.03192312812547776,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8472222222222222,0.9166666666666666,49
200,20,10,2,0.8890791476407915,0.029406889017054277,0.9315068493150684,0.8611111111111112,0.8611111111111112,0.875,0.9166666666666666,49
200,,10,2,0.8890791476407915,0.029406889017054277,0.9315068493150684,0.8611111111111112,0.8611111111111112,0.875,0.9166666666666666,49
200,10,5,1,0.8890791476407915,0.03192312812547776,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8472222222222222,0.9166666666666666,49
