param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
50,,5,1,0.838929292929293,0.026832329012150696,0.85,0.88,0.8282828282828283,0.797979797979798,0.8383838383838383,1
100,20,10,1,0.8369898989898991,0.021745708289155376,0.83,0.86,0.8484848484848485,0.797979797979798,0.8484848484848485,2
200,,5,1,0.836949494949495,0.0311538732747369,0.83,0.88,0.8282828282828283,0.7878787878787878,0.8585858585858586,3
50,20,10,1,0.836949494949495,0.02378425630270296,0.84,0.87,0.8282828282828283,0.797979797979798,0.8484848484848485,3
200,20,2,1,0.8369292929292929,0.027852322381713396,0.85,0.87,0.8484848484848485,0.7878787878787878,0.8282828282828283,5
200,20,10,2,0.8349696969696969,0.029030267884108805,0.81,0.88,0.8383838383838383,0.797979797979798,0.8484848484848485,6
200,,10,2,0.834949494949495,0.03054075106751273,0.82,0.88,0.8383838383838383,0.7878787878787878,0.8484848484848485,7
200,10,5,1,0.832969696969697,0.021877733916059672,0.82,0.86,0.8383838383838383,0.797979797979798,0.8484848484848485,8
200,,10,1,0.8329494949494949,0.031834076517333734,0.82,0.87,0.8181818181818182,0.7878787878787878,0.8686868686868687,9
50,,10,1,0.832929292929293,0.024753781921483944,0.83,0.87,0.8181818181818182,0.797979797979798,0.8484848484848485,10
100,20,2,1,0.832929292929293,0.024802947516156953,0.84,0.86,0.8484848484848485,0.7878787878787878,0.8282828282828283,10
100,20,5,1,0.832929292929293,0.027114317352447518,0.83,0.87,0.8484848484848485,0.7878787878787878,0.8282828282828283,10
100,,5,1,0.8328888888888889,0.028755189663048682,0.84,0.88,0.8080808080808081,0.797979797979798,0.8383838383838383,13
200,20,10,1,0.8309494949494951,0.028204986675044782,0.81,0.87,0.8181818181818182,0.797979797979798,0.8585858585858586,14
50,10,5,1,0.8309494949494949,0.01760216291168425,0.82,0.86,0.8383838383838383,0.8080808080808081,0.8282828282828283,15
200,20,5,1,0.830929292929293,0.029754661202562153,0.82,0.87,0.8181818181818182,0.7878787878787878,0.8585858585858586,16
200,10,2,2,0.828949494949495,0.030596264725644504,0.8,0.87,0.8383838383838383,0.7878787878787878,0.8484848484848485,17
50,20,5,2,0.8289292929292928,0.02317186688106066,0.81,0.87,0.8383838383838383,0.8080808080808081,0.8181818181818182,18
200,10,5,2,0.8289292929292928,0.024120704527424073,0.82,0.86,0.8383838383838383,0.7878787878787878,0.8383838383838383,18
50,,5,2,0.8289292929292928,0.02317186688106066,0.81,0.87,0.8383838383838383,0.8080808080808081,0.8181818181818182,18
100,10,10,1,0.8288888888888888,0.026750633033959775,0.83,0.87,0.8181818181818182,0.7878787878787878,0.8383838383838383,21
100,10,5,1,0.8288686868686869,0.026871603092292792,0.84,0.87,0.8282828282828283,0.7878787878787878,0.8181818181818182,22
200,10,10,1,0.8269292929292928,0.022679014983917434,0.82,0.85,0.8282828282828283,0.7878787878787878,0.8484848484848485,23
200,20,5,2,0.8269090909090909,0.027566883539027042,0.81,0.87,0.8383838383838383,0.7878787878787878,0.8282828282828283,24
50,20,2,1,0.8269090909090909,0.023662904894671755,0.82,0.86,0.8282828282828283,0.7878787878787878,0.8383838383838383,24
100,,10,1,0.8269090909090909,0.02836910361995916,0.82,0.86,0.8080808080808081,0.7878787878787878,0.8585858585858586,24
100,20,5,2,0.8268888888888888,0.02207151837262528,0.84,0.85,0.8383838383838383,0.7878787878787878,0.8181818181818182,27
200,20,2,2,0.8268888888888888,0.022942095833834636,0.83,0.86,0.8282828282828283,0.7878787878787878,0.8282828282828283,27
200,,2,1,0.8268888888888888,0.031099066276548164,0.81,0.88,0.8181818181818182,0.7878787878787878,0.8383838383838383,27
50,20,5,1,0.824909090909091,0.024468274551854772,0.8,0.87,0.8181818181818182,0.8080808080808081,0.8282828282828283,30
200,10,10,4,0.8249090909090908,0.024567650105181887,0.81,0.86,0.8282828282828283,0.7878787878787878,0.8383838383838383,31
200,,2,2,0.8248888888888889,0.023019455180442655,0.82,0.86,0.8282828282828283,0.7878787878787878,0.8282828282828283,32
50,10,2,1,0.824868686868687,0.028541129298371565,0.81,0.88,0.8181818181818182,0.797979797979798,0.8181818181818182,33
200,,5,2,0.824868686868687,0.023173962710318116,0.83,0.86,0.8282828282828283,0.7878787878787878,0.8181818181818182,33
200,10,10,2,0.8228888888888889,0.026994434990514186,0.81,0.86,0.8080808080808081,0.7878787878787878,0.8484848484848485,35
100,10,2,1,0.8228484848484848,0.026449251440158382,0.82,0.87,0.8181818181818182,0.7878787878787878,0.8181818181818182,36
100,10,5,2,0.8228484848484848,0.0313109415982497,0.81,0.88,0.8282828282828283,0.7878787878787878,0.8080808080808081,36
50,20,10,2,0.8228282828282827,0.030780348505118023,0.82,0.88,0.8181818181818182,0.7878787878787878,0.8080808080808081,38
200,20,10,4,0.8209090909090909,0.0321203227117828,0.79,0.86,0.8282828282828283,0.7777777777777778,0.8484848484848485,39
200,,10,4,0.8209090909090909,0.0321203227117828,0.79,0.86,0.8282828282828283,0.7777777777777778,0.8484848484848485,39
100,20,10,4,0.820888888888889,0.017622994689968793,0.81,0.85,0.8181818181818182,0.797979797979798,0.8282828282828283,41
100,,10,4,0.820888888888889,0.017622994689968793,0.81,0.85,0.8181818181818182,0.797979797979798,0.8282828282828283,41
50,,2,2,0.8208686868686869,0.033466132771037486,0.79,0.88,0.8181818181818182,0.7878787878787878,0.8282828282828283,43
200,10,2,1,0.8208686868686869,0.028283953801558744,0.8,0.87,0.8282828282828283,0.7878787878787878,0.8181818181818182,43
100,,10,2,0.8208686868686869,0.033466132771037486,0.79,0.88,0.8282828282828283,0.7878787878787878,0.8181818181818182,43
100,10,10,2,0.8208686868686869,0.020917589645460078,0.81,0.86,0.8181818181818182,0.797979797979798,0.8181818181818182,43
50,20,2,2,0.8208484848484849,0.03420826638746535,0.8,0.88,0.8181818181818182,0.7777777777777778,0.8282828282828283,47
50,,10,2,0.8208484848484849,0.02696213717676437,0.81,0.87,0.8181818181818182,0.7878787878787878,0.8181818181818182,47
100,20,10,2,0.8208484848484849,0.03173258327238202,0.8,0.88,0.8181818181818182,0.7878787878787878,0.8181818181818182,47
100,,2,2,0.8208282828282828,0.03122087419355282,0.81,0.88,0.8181818181818182,0.7878787878787878,0.8080808080808081,50
200,20,5,4,0.818888888888889,0.022193737483152183,0.8,0.85,0.8282828282828283,0.7878787878787878,0.8282828282828283,51
200,20,2,4,0.818888888888889,0.022193737483152183,0.8,0.85,0.8282828282828283,0.7878787878787878,0.8282828282828283,51
200,,2,4,0.818888888888889,0.022193737483152183,0.8,0.85,0.8282828282828283,0.7878787878787878,0.8282828282828283,51
200,,5,4,0.818888888888889,0.022193737483152183,0.8,0.85,0.8282828282828283,0.7878787878787878,0.8282828282828283,51
100,20,2,4,0.8188888888888888,0.024700718560362243,0.79,0.86,0.8282828282828283,0.797979797979798,0.8181818181818182,55
100,,2,4,0.8188888888888888,0.024700718560362243,0.79,0.86,0.8282828282828283,0.797979797979798,0.8181818181818182,55
100,20,5,4,0.8188888888888888,0.024700718560362243,0.79,0.86,0.8282828282828283,0.797979797979798,0.8181818181818182,55
100,,5,4,0.8188888888888888,0.024700718560362243,0.79,0.86,0.8282828282828283,0.797979797979798,0.8181818181818182,55
100,,5,2,0.8188888888888888,0.02309489435990901,0.8,0.85,0.8383838383838383,0.7878787878787878,0.8181818181818182,55
100,20,2,2,0.8188484848484849,0.028041946803540562,0.8,0.87,0.8181818181818182,0.7878787878787878,0.8181818181818182,60
50,,2,1,0.8188282828282828,0.03797601528551431,0.8,0.88,0.8080808080808081,0.7676767676767676,0.8383838383838383,61
50,10,10,1,0.8188080808080809,0.032288895903917356,0.81,0.88,0.8181818181818182,0.7878787878787878,0.797979797979798,62
50,10,5,4,0.8169090909090908,0.030575582384297514,0.77,0.86,0.8282828282828283,0.797979797979798,0.8282828282828283,63
50,10,2,4,0.8169090909090908,0.030575582384297514,0.77,0.86,0.8282828282828283,0.797979797979798,0.8282828282828283,63
50,20,2,4,0.816888888888889,0.027233821857274815,0.78,0.86,0.8181818181818182,0.797979797979798,0.8282828282828283,65
50,20,5,4,0.816888888888889,0.027233821857274815,0.78,0.86,0.8181818181818182,0.797979797979798,0.8282828282828283,65
50,,5,4,0.816888888888889,0.027233821857274815,0.78,0.86,0.8181818181818182,0.797979797979798,0.8282828282828283,65
50,,2,4,0.816888888888889,0.027233821857274815,0.78,0.86,0.8181818181818182,0.797979797979798,0.8282828282828283,65
50,10,10,2,0.816868686868687,0.02666329945070947,0.79,0.86,0.8181818181818182,0.7878787878787878,0.8282828282828283,69
50,10,5,2,0.8168484848484848,0.032264428834610885,0.79,0.87,0.8383838383838383,0.797979797979798,0.7878787878787878,70
100,10,10,4,0.814868686868687,0.02174354987172942,0.79,0.85,0.8282828282828283,0.797979797979798,0.8080808080808081,71
50,10,10,4,0.814868686868687,0.02078388315498577,0.79,0.85,0.8181818181818182,0.797979797979798,0.8181818181818182,71
100,,2,1,0.8148484848484848,0.026869142549489005,0.79,0.86,0.8080808080808081,0.7878787878787878,0.8282828282828283,73
200,10,5,4,0.8148484848484848,0.024584289849772147,0.8,0.85,0.8282828282828283,0.7777777777777778,0.8181818181818182,73
200,10,2,4,0.8148484848484848,0.024584289849772147,0.8,0.85,0.8282828282828283,0.7777777777777778,0.8181818181818182,73
100,10,2,2,0.8148080808080808,0.03063758752263669,0.8,0.87,0.8080808080808081,0.7777777777777778,0.8181818181818182,76
50,10,2,2,0.8147878787878788,0.03444131032276953,0.8,0.88,0.8080808080808081,0.7777777777777778,0.8080808080808081,77
50,,10,4,0.8128484848484849,0.026072614882507453,0.79,0.85,0.8181818181818182,0.7777777777777778,0.8282828282828283,78
100,10,5,4,0.8128484848484849,0.02085445455210588,0.79,0.85,0.8181818181818182,0.797979797979798,0.8080808080808081,78
100,10,2,4,0.8128484848484849,0.02085445455210588,0.79,0.85,0.8181818181818182,0.797979797979798,0.8080808080808081,78
50,20,10,4,0.8128484848484849,0.026072614882507453,0.79,0.85,0.8181818181818182,0.7777777777777778,0.8282828282828283,78
