"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SFRP1",2331.40934656072,-1.70281701862089,0.374823319953184,44.412947341867,1.23314380642063e-09,1.97827449496698e-07
"CKM",6309.33965488586,-3.3442944942952,0.589533532715983,52.5312177583155,2.30771972373775e-11,6.54417172171223e-09
"TNNT1",5313.33525936977,-1.86699366809154,0.358557541319632,37.7447646477358,3.20093690597858e-08,2.99835412058679e-06
"HAS1",105.503786588734,2.34364131584288,0.368407840026739,36.602491550153,5.58442603138913e-08,4.71802293057838e-06
"TFPI2",501.581472131289,2.7215777120589,0.433059153267307,53.0912915803174,1.75301189088192e-11,5.20569935341253e-09
"SFRP4",2401.20379989297,1.63352602346615,0.431873719328667,19.5887273946082,0.000206530323970498,0.004047840564694
"CSF3",481.594303250246,1.56789021441971,0.396533705139501,13.4547496682517,0.00374961334574551,0.0325779773597194
"CLIC5",197.652755443452,-1.7828023719048,0.312447857610439,53.8711284104356,1.19536236733878e-11,3.87992385138309e-09
"IL1A",2671.5170475389,1.66642632443469,0.334871518083145,30.3640928100122,1.15690154558423e-06,6.21033648912273e-05
"PADI2",1396.89607979498,-2.43804987119964,0.366608219013833,73.3243392952818,8.28309089333378e-16,1.05097363271145e-12
"MYB",292.665832436194,-2.13000253039026,0.328883497251049,62.799183738759,1.48253549106417e-13,8.62156160365941e-11
"FABP3",441.121560292919,-1.75914085617382,0.310581668488494,47.2849998745542,3.02276257710517e-10,5.8595945900221e-08
"LDB3",669.691364707792,-2.84077578863157,0.462881100001416,62.8400163459801,1.45303228353127e-13,8.62156160365941e-11
"KLHL31",148.524015867667,-1.97000285377342,0.30687843380175,74.0629731325062,5.75333713078132e-16,8.02993263343149e-13
"AMOT",590.033048811117,-1.6153159964097,0.339585201602092,49.4654306298307,1.03833374982242e-10,2.33742324939864e-08
"EDN2",797.217875524754,1.71660376769662,0.388628871556516,28.0953763408825,3.46840791918454e-06,0.000156662036660384
"MGAT3",564.35362526229,-1.75302154432698,0.385763538480713,36.920956688964,4.78201597883876e-08,4.17141231354079e-06
"CGNL1",421.319871644139,-1.5581138241005,0.283704204138404,46.0579464329248,5.51284972222914e-10,1.01240583648884e-07
"KLK14",1699.63120877166,2.92128040471129,0.491030254966404,33.7446226694019,2.24301392192074e-07,1.51969637418678e-05
"FIBCD1",296.877852813311,2.4245513992001,0.458403644806326,64.4439566913625,6.59618140574974e-14,4.60314519400245e-11
"CKMT2",280.335197754713,-2.89571645400625,0.446820956139156,67.0571512081433,1.82064261653166e-14,1.41170605549625e-11
"PDE6B",123.754795756714,-1.68125066331736,0.337117712150753,35.1576430398682,1.12831154271629e-07,8.55861097918002e-06
"FAM189A2",198.125229620703,-1.95064752583752,0.314656577475427,55.3913609691508,5.66523957753207e-12,2.08078286272671e-09
"CYP27A1",1016.3075916769,-1.5005541348292,0.308595472830056,29.6412743213186,1.64187787997014e-06,8.39402548378872e-05
"TMOD1",289.66649101613,-1.82875507059957,0.372999844075722,39.4781260641112,1.37455655170249e-08,1.52259411048505e-06
"SLCO5A1",130.437289248435,-1.78274837239441,0.307473026682769,49.0166903977552,1.29382826396324e-10,2.82155641877109e-08
"FXYD6",142.709611990737,-1.82238430820216,0.316356277143094,44.9393285297292,9.53152715527165e-10,1.62233566470886e-07
"RPL3L",236.378332979429,-1.61354998353841,0.336579828611912,29.7021429860642,1.59419515545279e-06,8.27144304262255e-05
"ABCA8",156.871201404333,-1.87601296095696,0.342679056157279,44.0469210942292,1.47494056724186e-09,2.31300511202188e-07
"RNF157",71.065033325149,-1.63449172910443,0.25126508209719,54.482058978343,8.85524653762007e-12,3.01445551037959e-09
"ACTA1",11697.3511955388,-3.09071781796542,0.623373436513841,39.1156048052262,1.64049451599124e-08,1.72153247817216e-06
"MLIP",204.212369484395,-1.68273326004072,0.338492393946591,39.7088704926337,1.22818292366893e-08,1.38239911819736e-06
"NR3C2",123.272438139166,-1.59584215897565,0.329509048489338,48.4973480487834,1.66888688212064e-10,3.58348526365504e-08
"PDLIM3",2146.30271528808,-1.91987510385047,0.366038314933659,50.4945923632495,6.26844530243782e-11,1.52322777677427e-08
"TTN",6222.82324860953,-2.21186172959015,0.479485886516004,44.835807827998,1.0026789174876e-09,1.68607104233426e-07
"MPZ",85.5945479054734,-2.16301534708442,0.265736519324289,89.56504440354,2.71629711020912e-19,6.31855979453144e-16
"TNNI1",4260.81145114468,-2.0923045703763,0.453408633930961,41.1762257057344,5.99993964663964e-09,7.68267501359169e-07
"SIM2",331.946431526119,-1.60470972179154,0.382421496540255,38.4486468345112,2.27115888302183e-08,2.26418318073826e-06
"PKDCC",444.62971080918,-1.8905436601763,0.398277403437315,34.3441557127917,1.67595415776733e-07,1.18571784234598e-05
"TMOD4",163.973401770328,-2.82669983955148,0.412056072542844,85.9625924689453,1.61258207072125e-18,3.21525828015092e-15
"CXCL5",339.429268392804,1.83112709441807,0.401826837654738,21.226867906933,9.44506589876473e-05,0.00222301491988296
"CMYA5",2433.07675950049,-2.30617598291014,0.444692856422828,51.5876730501204,3.66672699145673e-11,9.47713122588179e-09
"TXLNB",267.482112964052,-2.07483943044789,0.377971349012601,53.891224594985,1.18362433902006e-11,3.87992385138309e-09
"BTNL9",378.028408311885,-2.02599244433541,0.427538104827887,30.7228099025315,9.72298761355158e-07,5.3217152204839e-05
"ANKRD2",147.661119266799,-1.86092090564675,0.374942725579271,38.8720352787577,1.84745378711621e-08,1.90999351902081e-06
"SYNPO2L",413.536572138615,-1.53950556212958,0.44272351085459,24.7207736500668,1.7661657650593e-05,0.00058972190389791
"PLIN4",232.068750662732,-2.15318517621956,0.325042367363957,61.3162983821248,3.07595661470959e-13,1.59004172116673e-10
"ABCA3",1125.09542241081,-1.7478139744002,0.380184541712834,52.1309759273108,2.80862508451418e-11,7.68627064795381e-09
"H1.4",36.82464286652,1.50834178787885,0.253149985405279,37.7041573399765,3.26492073440112e-08,3.0378999126691e-06
"CX3CR1",89.6010021558291,-1.55303105910929,0.267458776305441,67.5000816756719,1.46363389854821e-14,1.20164343070808e-11
"ATOH8",175.554318806837,-1.63092485294141,0.303645637036389,42.3555437617615,3.37224089373279e-09,4.66003625285431e-07
"PARM1",1495.39553877545,-1.83777681867533,0.33745618913815,43.9722831345352,1.5297813840594e-09,2.37235097525745e-07
"RAB3B",595.306786359956,1.85803018961987,0.4023628168004,43.7483054322993,1.70688408649723e-09,2.5616108812088e-07
"RNF150",417.460033072908,-2.03879064674284,0.339270714908198,54.6900534721963,7.99528363239388e-12,2.78975434143303e-09
"FABP4",4345.33822289125,3.17011112355818,0.510119374219079,174.447776327914,1.39440181195046e-37,1.94616660893925e-33
"KRT4",29805.1285064002,-2.58430938816549,0.56375071875825,41.4754024948616,5.18420825239865e-09,6.8260372244083e-07
"CAVIN4",423.358553591177,-1.73254047195848,0.406150368949252,43.5012077443434,1.92612070861139e-09,2.80029861771762e-07
"CEL",513.156118072352,2.08804257580957,0.442017028368474,24.1973320821908,2.27189460343671e-05,0.000706397447280457
"PKIA",591.216856559048,-1.79782249675167,0.312782421519968,60.0942771218997,5.61183274471335e-13,2.70083964199877e-10
"KRT13",100772.903866391,-1.7371554379105,0.494685653916281,16.241337299567,0.00101183327477059,0.0130278201254365
"MAL",3134.11678834547,-1.7439849284773,0.504272538239404,16.1852603082034,0.00103899577724897,0.0132795458452966
"ARNT2",673.761042835863,-1.70426233168494,0.326965698302125,39.978610191285,1.07669113907422e-08,1.25228151900491e-06
"SYNPO2",3923.31632751029,-2.01087327741377,0.389317102397275,57.934951299967,1.62295584186423e-12,6.66223373085267e-10
"CCL19",881.3045998648,-2.32945243081081,0.393007893819177,58.271123855603,1.37569756848522e-12,5.81836695859038e-10
"HSPB7",1702.45315469671,-2.03585317335622,0.514869278947948,35.7331348532352,8.52715936982368e-08,6.83985996118558e-06
"ADGRG2",48.1764217749767,-1.70097726839308,0.277095158495764,75.7470418390876,2.50602725361586e-16,3.88629137541295e-13
"SUSD5",107.134613755193,-1.80204928522874,0.306375397596082,59.7292337830795,6.71570930090176e-13,3.06947668866973e-10
"TCAP",2495.75597638063,-2.32711472196164,0.577238996837749,34.6716958063444,1.42918561631874e-07,1.03891373161253e-05
"TLR10",88.9415732581004,-2.40535776564245,0.308432630864008,119.744466797726,8.75930547613225e-26,4.07512088434593e-22
"DES",13745.5722301655,-2.17897994503496,0.595823775164873,26.9414257538265,6.05619018149456e-06,0.000245966560261512
"DDN",390.36003495608,-1.85100830840633,0.388606711499751,37.8497971998995,3.04118861317765e-08,2.90725133384386e-06
"SLC2A4",99.578650610643,-2.34383737322926,0.328457496155811,72.4163740763843,1.29634396715407e-15,1.50775606246412e-12
